Player,Team,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,UFA Year,Contract Type,Expiry Status,Expiry Yr,Agent
Jeff Carter,PIT,"$3,125,000","$3,000,000",2.0,3.7%,2012.0,Standard,UFA,2023-24,Richard Curran
Zach Parise,COL,"$825,000","$825,000",1.0,1%,2012.0,Standard,UFA,2023-24,Wade Arnott
Corey Perry,EDM,"$775,000","$775,000",1.0,0.9%,2012.0,Standard,UFA,2023-24,Patrick Morris
Joe Pavelski,DAL,"$3,500,000","$3,500,000",1.0,4.2%,2012.0,Standard,UFA,2023-24,Daniel Plante
Mark Giordano,TOR,"$800,000","$800,000",2.0,1%,2011.0,Standard,UFA,2023-24,Ritchie Winter
Blake Wheeler,NYR,"$800,000","$800,000",1.0,1%,2014.0,Standard,UFA,2023-24,Matt Keator
Alex Goligoski,MIN,"$2,000,000","$2,000,000",2.0,2.4%,2013.0,Standard,UFA,2023-24,Ben Hankinson
Jack Johnson,COL,"$775,000","$775,000",1.0,0.9%,2014.0,Standard,UFA,2023-24,Pat Brisson
Marc Staal,PHI,"$1,100,000","$1,100,000",1.0,1.3%,2014.0,Standard,UFA,2023-24,Richard Curran
Andrew Cogliano,COL,"$825,000","$825,000",1.0,1%,2014.0,Standard,UFA,2023-24,Paul Capizzano
Erik Johnson,PHI,"$3,250,000","$3,250,000",1.0,3.9%,2015.0,Standard,UFA,2023-24,Pat Brisson
Kyle Okposo,FLA,"$2,500,000","$2,500,000",1.0,3%,2015.0,Standard,UFA,2023-24,Pat Brisson
Trevor Lewis,L.A,"$775,000","$775,000",1.0,0.9%,2014.0,Standard,UFA,2023-24,Wade Arnott
Milan Lucic,BOS,"$1,000,000","$1,000,000",1.0,1.2%,2014.0,Standard,UFA,2023-24,Gerry Johannson
Cal Clutterbuck,NYI,"$1,750,000","$1,750,000",2.0,2.1%,2015.0,Standard,UFA,2023-24,Patrick Morris
Ian Cole,VAN,"$3,000,000","$3,000,000",1.0,3.6%,2016.0,Standard,UFA,2023-24,Kevin Magnuson
Kevin Shattenkirk,BOS,"$1,050,000","$1,050,000",1.0,1.3%,2016.0,Standard,UFA,2023-24,Jordan Neumann & George Bazos
Pat Maroon,MIN,"$1,000,000","$1,000,000",2.0,1.2%,2015.0,Standard,UFA,2023-24,Ben Hankinson
James van Riemsdyk,BOS,"$1,000,000","$1,000,000",1.0,1.2%,2016.0,Standard,UFA,2023-24,Judd Moldaver
Sam Gagner,EDM,"$775,000","$775,000",1.0,0.9%,2014.0,Standard,UFA,2023-24,Judd Moldaver
Brendan Smith,N.J,"$1,100,000","$1,200,000",2.0,1.3%,2016.0,Standard,UFA,2023-24,Matthew Oates
David Perron,DET,"$4,750,000","$5,150,000",2.0,5.7%,2015.0,Standard,UFA,2023-24,Allan Walsh
Patrick Kane,DET,"$2,750,000","$2,750,000",1.0,3.3%,2014.0,Standard,UFA,2023-24,Pat Brisson
Robert Bortuzzo,STL,"$950,000","$950,000",2.0,1.1%,2016.0,Standard,UFA,2023-24,Robert Hooper
Max Pacioretty,WSH,"$2,000,000","$2,000,000",1.0,2.4%,2016.0,Standard,UFA,2023-24,Allan Walsh
Alec Martinez,VGK,"$5,250,000","$5,750,000",3.0,6.3%,2015.0,Standard,UFA,2023-24,Shawn Hunwick
Steven Stamkos,T.B,"$8,500,000","$6,500,000",8.0,10.2%,2016.0,Standard,UFA,2023-24,Donald Meehan
Tyler Myers,VAN,"$6,000,000","$6,000,000",5.0,7.2%,2017.0,Standard,UFA,2023-24,J.P. Barry
Justin Schultz,SEA,"$3,000,000","$3,000,000",2.0,3.6%,2018.0,Standard,UFA,2023-24,Ray (Raynold) Petkau
Marco Scandella,STL,"$3,275,000","$3,000,000",4.0,3.9%,2017.0,Standard,UFA,2023-24,Philippe Lecavalier
Adam Henrique,EDM,"$5,825,000","$5,825,000",5.0,7%,2017.0,Standard,UFA,2023-24,John Thornton
TJ Brodie,TOR,"$5,000,000","$7,500,000",4.0,6%,2017.0,Standard,UFA,2023-24,Paul Capizzano
Matt Martin,NYI,"$1,500,000","$1,500,000",4.0,1.8%,2016.0,Standard,UFA,2023-24,Patrick Morris
Tyler Johnson,CHI,"$5,000,000","$4,750,000",7.0,6%,2018.0,Standard,UFA,2023-24,J.P. Barry
Mike Hoffman,S.J,"$4,500,000","$5,000,000",3.0,5.4%,2017.0,Standard,UFA,2023-24,Robert Hooper
Jakob Silfverberg,ANA,"$5,250,000","$5,250,000",5.0,6.3%,2018.0,Standard,UFA,2023-24,Kevin Epp
Matt Duchene,DAL,"$3,000,000","$3,000,000",1.0,3.6%,2016.0,Standard,UFA,2023-24,Pat Brisson
Oliver Ekman-Larsson,FLA,"$2,250,000","$2,250,000",1.0,2.7%,2017.0,Standard,UFA,2023-24,Kevin Epp
Calvin de Haan,T.B,"$775,000","$775,000",1.0,0.9%,2018.0,Standard,UFA,2023-24,Andy Scott
Dmitry Kulikov,FLA,"$1,000,000","$1,000,000",1.0,1.2%,2017.0,Standard,UFA,2023-24,Craig Oster
Tomas Tatar,SEA,"$1,500,000","$1,500,000",1.0,1.8%,2018.0,Standard,UFA,2023-24,Craig Oster
Tyson Barrie,NSH,"$4,500,000","$5,000,000",3.0,5.4%,2019.0,Standard,UFA,2023-24,Pat Brisson
Craig Smith,DAL,"$1,000,000","$1,000,000",1.0,1.2%,2017.0,Standard,UFA,2023-24,Kevin Magnuson
Byron Froese,VGK,"$762,500","$775,000",2.0,0.9%,2018.0,Standard,UFA,2023-24,Todd Reynolds
Brenden Dillon,WPG,"$3,900,000","$4,000,000",4.0,4.7%,2018.0,Standard,UFA,2023-24,Craig Oster
Jason Zucker,NSH,"$5,300,000","$5,300,000",1.0,6.3%,2019.0,Standard,UFA,2023-24,Eustace King
Tyler Toffoli,WPG,"$4,250,000","$3,500,000",4.0,5.1%,2019.0,Standard,UFA,2023-24,Pat Brisson
Tyler Pitlick,NYR,"$787,500","$787,500",1.0,0.9%,2019.0,Standard,UFA,2023-24,Ben Hankinson
Derek Forbort,BOS,"$3,000,000","$3,500,000",3.0,3.6%,2019.0,Standard,UFA,2023-24,Ben Hankinson
Vladimir Tarasenko,OTT,"$5,000,000","$5,000,000",1.0,6%,2019.0,Standard,UFA,2023-24,Craig Oster
Austin Watson,T.B,"$776,665","$776,665",1.0,0.9%,2019.0,Standard,UFA,2023-24,Murray Koontz
Jarred Tinordi,CHI,"$1,250,000","$1,250,000",1.0,1.5%,2019.0,Standard,UFA,2023-24,Wade Arnott
Sam Carrick,EDM,"$850,000","$850,000",2.0,1%,2019.0,Standard,UFA,2023-24,Todd Reynolds
John Klingberg,TOR,"$4,150,000","$4,150,000",1.0,5%,2020.0,Standard,UFA,2023-24,Craig Oster
Colin Blackwell,CHI,"$1,200,000","$1,200,000",2.0,1.4%,2020.0,Standard,UFA,2023-24,Peter Fish
Max McCormick,SEA,"$762,500","$775,000",2.0,0.9%,2019.0,Standard,UFA,2023-24,Ritchie Winter
Travis Boyd,ARI,"$1,750,000","$2,000,000",2.0,2.1%,2021.0,Standard,UFA,2023-24,Ben Hankinson
Nick Cousins,FLA,"$1,100,000","$1,100,000",2.0,1.3%,2021.0,Standard,UFA,2023-24,Andy Scott
Mike Reilly,NYI,"$1,000,000","$1,000,000",1.0,1.2%,2021.0,Standard,UFA,2023-24,Pat Brisson
Joel Edmundson,WSH,"$3,500,000","$3,187,500",4.0,4.2%,2020.0,Standard,UFA,2023-24,Craig Oster
Stefan Noesen,CAR,"$762,500","$775,000",2.0,0.9%,2020.0,Standard,UFA,2023-24,Wade Arnott
Colin Miller,WPG,"$1,850,000","$1,700,000",2.0,2.2%,2020.0,Standard,UFA,2023-24,Wade Arnott
Jonathan Marchessault,VGK,"$5,000,000","$3,500,000",6.0,6%,2018.0,Standard,UFA,2023-24,Pat Brisson
Matt Dumba,T.B,"$3,900,000","$3,900,000",1.0,4.7%,2022.0,Standard,UFA,2023-24,Craig Oster
Brendan Gaunce,CBJ,"$762,500","$775,000",2.0,0.9%,2021.0,Standard,UFA,2023-24,Paul Capizzano
Brady Skjei,CAR,"$5,250,000","$5,400,000",6.0,6.3%,2021.0,Standard,UFA,2023-24,Wade Arnott
Tanner Pearson,MTL,"$3,250,000","$4,250,000",3.0,3.9%,2020.0,Standard,UFA,2023-24,Joseph Resnick
Zemgus Girgensons,BUF,"$2,500,000","$2,500,000",1.0,3%,2020.0,Standard,UFA,2023-24,Paul Capizzano
Teuvo Teravainen,CAR,"$5,400,000","$5,875,000",5.0,6.5%,2022.0,Standard,UFA,2023-24,Markus Lehto
Derrick Pouliot,DAL,"$775,000","$775,000",1.0,0.9%,2021.0,Standard,UFA,2023-24,Rick Valette
Matt Grzelcyk,BOS,"$3,687,500","$4,250,000",4.0,4.4%,2021.0,Standard,UFA,2023-24,Peter Fish
Chandler Stephenson,VGK,"$2,750,000","$3,225,000",4.0,3.3%,2021.0,Standard,UFA,2023-24,Jason Davidson
Shayne Gostisbehere,DET,"$4,125,000","$4,125,000",1.0,4.9%,2020.0,Standard,UFA,2023-24,Marc Levine
Devin Shore,SEA,"$775,000","$775,000",1.0,0.9%,2022.0,Standard,UFA,2023-24,Todd Reynolds
Jujhar Khaira,MIN,"$775,000","$775,000",1.0,0.9%,2022.0,Standard,UFA,2023-24,Kurt Overhardt
Chris Tierney,N.J,"$775,000","$775,000",1.0,0.9%,2021.0,Standard,UFA,2023-24,Joseph Resnick
Jordan Martinook,CAR,"$1,800,000","$2,700,000",3.0,2.2%,2020.0,Standard,UFA,2023-24,Jeff Helperl
Teddy Blueger,VAN,"$1,900,000","$1,900,000",1.0,2.3%,2022.0,Standard,UFA,2023-24,Ben Hankinson
Erik Gustafsson,NYR,"$825,000","$825,000",1.0,1%,2019.0,Standard,UFA,2023-24,Craig Oster
Vinnie Hinostroza,PIT,"$775,000","$775,000",1.0,0.9%,2021.0,Standard,UFA,2023-24,Pete Rutili
Connor Brown,EDM,"$775,000","$775,000",1.0,0.9%,2021.0,Standard,UFA,2023-24,David Gagner
Jaycob Megna,CHI,"$762,500","$775,000",2.0,0.9%,2020.0,Standard,UFA,2023-24,Daniel Plante
Liam O'Brien,ARI,"$775,000","$800,000",2.0,0.9%,2022.0,Standard,UFA,2023-24,Andrew Maloney
Kurtis MacDermid,N.J,"$987,500","$1,000,000",2.0,1.2%,2021.0,Standard,UFA,2023-24,Ian Pulver
Chad Ruhwedel,PIT,"$800,000","$800,000",2.0,1%,2017.0,Standard,UFA,2023-24,Jordan Neumann & George Bazos
Dominik Kubalik,OTT,"$2,500,000","$2,500,000",2.0,3%,2023.0,Standard,UFA,2023-24,Jiri Hamal
Tyler Motte,T.B,"$800,000","$800,000",1.0,1%,2022.0,Standard,UFA,2023-24,Pat Brisson
Josh Brown,ARI,"$1,275,000","$1,300,000",2.0,1.5%,2021.0,Standard,UFA,2023-24,Jason Harshaw
John Hayden,SEA,"$775,000","$775,000",1.0,0.9%,2022.0,Standard,UFA,2023-24,Pat Brisson
Jake Guentzel,PIT,"$6,000,000","$6,000,000",5.0,7.2%,2022.0,Standard,UFA,2023-24,Ben Hankinson
Mattias Janmark,EDM,"$1,000,000","$1,000,000",1.0,1.2%,2020.0,Standard,UFA,2023-24,Peter Wallen
Anthony Duclair,T.B,"$3,000,000","$4,000,000",3.0,3.6%,2022.0,Standard,UFA,2023-24,Anthony Duclair
Adam Erne,EDM,"$775,000","$775,000",1.0,0.9%,2022.0,Standard,UFA,2023-24,Ritchie Winter
Robert Hagg,ANA,"$775,000","$775,000",1.0,0.9%,2022.0,Standard,UFA,2023-24,Craig Oster
Nic Petan,MIN,"$762,500","$775,000",2.0,0.9%,2022.0,Standard,UFA,2023-24,Kevin Epp
Justin Bailey,S.J,"$775,000","$775,000",1.0,0.9%,2023.0,Standard,UFA,2023-24,Pat Brisson
William Carrier,VGK,"$1,400,000","$1,750,000",4.0,1.7%,2022.0,Standard,UFA,2023-24,Philippe Lecavalier
Tyler Bertuzzi,TOR,"$5,500,000","$5,500,000",1.0,6.6%,2022.0,Standard,UFA,2023-24,Todd Reynolds
Zach Sanford,CHI,"$800,000","$800,000",1.0,1%,2022.0,Standard,UFA,2023-24,Jerry Buckley
Brett Pesce,CAR,"$4,025,000","$4,025,000",6.0,4.8%,2022.0,Standard,UFA,2023-24,Jordan Neumann & George Bazos
Jonathan Drouin,COL,"$825,000","$825,000",1.0,1%,2022.0,Standard,UFA,2023-24,Allan Walsh
Elias Lindholm,VAN,"$4,850,000","$4,850,000",6.0,5.8%,2020.0,Standard,UFA,2023-24,Peter Wallen
Sean Monahan,WPG,"$1,985,000","$1,985,000",1.0,2.4%,2020.0,Standard,UFA,2023-24,Patrick Morris
Max Domi,TOR,"$3,000,000","$3,000,000",1.0,3.6%,2022.0,Standard,UFA,2023-24,Judd Moldaver
Nikita Zadorov,VAN,"$3,750,000","$3,750,000",2.0,4.5%,2022.0,Standard,UFA,2023-24,Daniel Milstein
Anthony Mantha,WSH,"$5,700,000","$6,500,000",4.0,6.8%,2022.0,Standard,UFA,2023-24,Pat Brisson
Dakota Mermis,MIN,"$775,000","$775,000",1.0,0.9%,2021.0,Standard,UFA,2023-24,Kurt Overhardt
Ryan Carpenter,S.J,"$775,000","$775,000",1.0,0.9%,2018.0,Standard,UFA,2023-24,Daniel Plante
Jordan Oesterle,CGY,"$925,000","$925,000",1.0,1.1%,2019.0,Standard,UFA,2023-24,Matt Federico
Pierre-Edouard Bellemare,SEA,"$775,000","$775,000",1.0,0.9%,2012.0,Standard,UFA,2023-24,Kevin Magnuson
Tomas Nosek,N.J,"$1,000,000","$1,000,000",1.0,1.2%,2020.0,Standard,UFA,2023-24,J.P. Barry
Sam Reinhart,FLA,"$6,500,000","$6,500,000",3.0,7.8%,2022.0,Standard,UFA,2023-24,Craig Oster
Haydn Fleury,T.B,"$762,500","$775,000",2.0,0.9%,2024.0,Standard,UFA,2023-24,Gerry Johannson
Jakub Vrana,STL,"$5,250,000","$5,750,000",3.0,6.3%,2023.0,Standard,UFA,2023-24,J.P. Barry
Tony DeAngelo,CAR,"$1,675,000","$1,675,000",1.0,2%,2023.0,Standard,UFA,2023-24,Pat Brisson
Kasperi Kapanen,STL,"$3,200,000","$3,200,000",2.0,3.8%,2024.0,Standard,UFA,2023-24,Markus Lehto
Nicolas Aube-Kubel,WSH,"$1,225,000","$1,225,000",1.0,1.5%,2023.0,Standard,UFA,2023-24,Philippe Lecavalier
Brandon Montour,FLA,"$3,500,000","$5,250,000",3.0,4.2%,2021.0,Standard,UFA,2023-24,Matt Keator
Justin Kirkland,ARI,"$775,000","$775,000",1.0,0.9%,2024.0,Standard,UFA,2023-24,Craig Oster
Warren Foegele,EDM,"$2,750,000","$3,250,000",3.0,3.3%,2023.0,Standard,UFA,2023-24,Joseph Resnick
Mark Friedman,VAN,"$775,000","$800,000",2.0,0.9%,2023.0,Standard,UFA,2023-24,Ian Pulver
Michael Amadio,VGK,"$762,500","$775,000",2.0,0.9%,2023.0,Standard,UFA,2023-24,Joseph Resnick
William Lagesson,TOR,"$775,000","$775,000",1.0,0.9%,2023.0,Standard,UFA,2023-24,Allan Walsh
Fredrik Olofsson,COL,"$775,000","$775,000",1.0,0.9%,2023.0,Standard,UFA,2023-24,Claude Lemieux
Viktor Arvidsson,L.A,"$4,250,000","$4,250,000",7.0,5.1%,2020.0,Standard,UFA,2023-24,Kurt Overhardt
Sam Lafferty,VAN,"$1,150,000","$1,150,000",2.0,1.4%,2022.0,Standard,UFA,2023-24,Pete Rutili
Danton Heinen,BOS,"$775,000","$775,000",1.0,0.9%,2023.0,Standard,UFA,2023-24,Allain Roy
Dakota Joshua,VAN,"$825,000","$850,000",2.0,1%,2023.0,Standard,UFA,2023-24,Richard Evans
Oskar Lindblom,S.J,"$2,500,000","$2,500,000",2.0,3%,2024.0,Standard,UFA,2023-24,Kevin Epp
Rourke Chartier,OTT,"$775,000","$775,000",1.0,0.9%,2023.0,Standard,UFA,2023-24,Timothy Hodgson
Kevin Labanc,S.J,"$4,725,000","$5,875,000",4.0,5.7%,2023.0,Standard,UFA,2023-24,Michael Curran
Sammy Blais,STL,"$1,000,000","$1,000,000",1.0,1.2%,2023.0,Standard,UFA,2023-24,Philippe Lecavalier
Victor Olofsson,BUF,"$4,750,000","$4,750,000",2.0,5.7%,2023.0,Standard,UFA,2023-24,Claude Lemieux
Matthew Highmore,OTT,"$775,000","$775,000",1.0,0.9%,2023.0,Standard,UFA,2023-24,Allan Walsh
Colin White,PIT,"$775,000","$775,000",1.0,0.9%,2024.0,Standard,UFA,2023-24,Philippe Lecavalier
Travis Dermott,ARI,"$800,000","$800,000",1.0,1%,2024.0,Standard,UFA,2023-24,David Gagner
Anthony Richard,BOS,"$775,000","$775,000",1.0,0.9%,2024.0,Standard,UFA,2023-24,Philippe Lecavalier
A.J. Greer,CGY,"$762,500","$775,000",2.0,0.9%,2024.0,Standard,UFA,2023-24,Philippe Lecavalier
Jansen Harkins,PIT,"$850,000","$875,000",2.0,1%,2024.0,Standard,UFA,2023-24,Cameron Stewart
Sebastian Aho,CAR,"$825,000","$850,000",2.0,1%,2023.0,Standard,UFA,2023-24,Claude Lemieux
Sebastian Aho,NYI,"$825,000","$850,000",2.0,1%,2023.0,Standard,UFA,2023-24,Claude Lemieux
Oliver Kylington,CGY,"$2,500,000","$2,500,000",2.0,3%,2024.0,Standard,UFA,2023-24,J.P. Barry
Christian Fischer,DET,"$1,125,000","$1,125,000",1.0,1.3%,2024.0,Standard,UFA,2023-24,Craig Oster
Glenn Gawdin,ANA,"$762,500","$775,000",2.0,0.9%,2024.0,Standard,UFA,2023-24,Dave Cowan
Caleb Jones,COL,"$775,000","$775,000",1.0,0.9%,2024.0,Standard,UFA,2023-24,Pat Brisson
Jack Roslovic,NYR,"$4,000,000","$4,000,000",2.0,4.8%,2024.0,Standard,UFA,2023-24,Claude Lemieux
Anthony Beauvillier,VAN,"$4,150,000","$4,150,000",3.0,5%,2023.0,Standard,UFA,2023-24,Philippe Lecavalier
Daniel Sprong,DET,"$2,000,000","$2,000,000",1.0,2.4%,2024.0,Standard,UFA,2023-24,Pat Brisson
Mitchell Stephens,MTL,"$775,000","$775,000",1.0,0.9%,2024.0,Standard,UFA,2023-24,Ian Pulver
Denis Gurianov,PHI,"$850,000","$850,000",1.0,1%,2024.0,Standard,UFA,2023-24,Mark Gandler & Todd Diamond
Jake DeBrusk,BOS,"$4,000,000","$4,000,000",2.0,4.8%,2024.0,Standard,UFA,2023-24,Rick Valette
Dennis Gilbert,CGY,"$762,500","$775,000",2.0,0.9%,2024.0,Standard,UFA,2023-24,Scott Bartlett
Yakov Trenin,NSH,"$1,700,000","$1,700,000",2.0,2%,2024.0,Standard,UFA,2023-24,Shumi Babaev
Austin Czarnik,DET,"$762,500","$775,000",2.0,0.9%,2020.0,Standard,UFA,2023-24,Brian Bartlett
Kevin Stenlund,FLA,"$1,000,000","$1,000,000",1.0,1.2%,2024.0,Standard,UFA,2023-24,Jarrett Bousquet
Alexandre Carrier,NSH,"$2,500,000","$2,500,000",1.0,3%,2024.0,Standard,UFA,2023-24,Philippe Lecavalier
Ryan Shea,PIT,"$775,000","$775,000",1.0,0.9%,2024.0,Standard,UFA,2023-24,Matt Keator
Adam Gaudette,STL,"$775,000","$775,000",1.0,0.9%,2024.0,Standard,UFA,2023-24,Matt Keator
Brett Seney,CHI,"$775,000","$775,000",1.0,0.9%,2023.0,Standard,UFA,2023-24,Pete Rutili
Steven Lorentz,FLA,"$1,050,000","$1,150,000",2.0,1.3%,2023.0,Standard,UFA,2023-24,Robert Hooper
Matt Roy,L.A,"$3,150,000","$4,200,000",3.0,3.8%,2022.0,Standard,UFA,2023-24,Richard Evans
Samuel Laberge,N.J,"$775,000","$775,000",1.0,0.9%,2024.0,Standard,UFA,2023-24,No Agent
Jalen Chatfield,CAR,"$762,500","$775,000",2.0,0.9%,2023.0,Standard,UFA,2023-24,Darren Ferris
Philippe Myers,T.B,"$1,400,000","$1,400,000",1.0,1.7%,2024.0,Standard,UFA,2023-24,Allain Roy
Ryan Lomberg,FLA,"$800,000","$825,000",2.0,1%,2022.0,Standard,UFA,2023-24,Brian Bartlett
Andrew Poturalski,SEA,"$762,500","$775,000",2.0,0.9%,2021.0,Standard,UFA,2023-24,Brian Bartlett
Joey Anderson,CHI,"$800,000","$800,000",1.0,1%,2025.0,Standard,RFA +arb,2023-24,Jay Grossman
Luke Kunin,S.J,"$2,750,000","$3,000,000",2.0,3.3%,2025.0,Standard,RFA +arb,2023-24,Pete Rutili
Lucas Johansen,WSH,"$762,500","$775,000",2.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Kurt Overhardt
Lucas Johansen,WSH,"$762,500","$775,000",2.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Kurt Overhardt
Ryan Lindgren,NYR,"$3,000,000","$4,000,000",3.0,3.6%,2025.0,Standard,RFA +arb,2023-24,Wade Arnott
Carl Grundstrom,L.A,"$1,300,000","$1,300,000",2.0,1.6%,2025.0,Standard,RFA +arb,2023-24,J.P. Barry
Dillon Dube,CGY,"$2,300,000","$2,400,000",3.0,2.8%,2026.0,Standard,RFA +arb,2023-24,Dave Cowan
Kale Clague,BUF,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,RFA +arb,2023-24,Judd Moldaver
Sam Steel,DAL,"$850,000","$850,000",1.0,1%,2025.0,Standard,RFA +arb,2023-24,Gerry Johannson
Beck Malenstyn,WSH,"$762,500","$775,000",2.0,0.9%,2025.0,Standard,RFA +arb,2023-24,J.P. Barry
Riley Tufte,COL,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Ben Hankinson
Riley Tufte,COL,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Ben Hankinson
Max Jones,ANA,"$1,295,000","$1,500,000",3.0,1.6%,2025.0,Standard,RFA +arb,2023-24,Pat Brisson
